p,Métrica,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana
2.27,d_2.27,10000,2738.165615012543,25.28079704823402,3273.0490665288135,-2738.165615012543,1.377125289169614,1.3062142652101871
2.28,d_2.28,10000,2743.8699291940425,25.331425112820945,3278.9391721318807,-2743.8699291940425,1.3780797638953755,1.30731558050276
2.29,d_2.29,10000,2749.5037377871095,25.381420770621364,3284.7662587605696,-2749.5037377871095,1.3790242825622903,1.3085685014556914
2.3,d_2.3,10000,2755.0682077158285,25.43079454372038,3290.531189743969,-2755.0682077158285,1.3799589829131629,1.3098303389376196
2.31,d_2.31,10000,2760.564481655759,25.479556735005218,3296.2348152053423,-2760.564481655759,1.3808840003287117,1.3106767824876726
2.32,d_2.32,10000,2765.9936786415014,25.52771743366381,3301.8779722321055,-2765.9936786415014,1.381799467875646,1.3113935582234664
2.33,d_2.33,10000,2771.356894656366,25.57528652052126,3307.4614850473195,-2771.356894656366,1.3827055163536013,1.3119856669973693
2.34,d_2.34,10000,2776.655203204843,25.622273673220636,3312.9861651824212,-2776.655203204843,1.3836022743409917,1.3129390839366404
2.35,d_2.35,10000,2781.8896558683387,25.668688371252227,3318.452811650766,-2781.8896558683387,1.3844898682397808,1.3139034316110347
2.36,d_2.36,10000,2787.061282844886,25.714539900837703,3323.8622111218183,-2787.061282844886,1.3853684223192266,1.314861006775969
2.37,d_2.37,10000,2792.171093473224,25.75983735967275,3329.2151380955797,-2792.171093473224,1.3862380587586078,1.3155790384938078
2.38,d_2.38,10000,2797.220076741821,25.804589661533385,3334.5123550770604,-2797.220076741821,1.3870988976889582,1.3161905081476224
2.39,d_2.39,10000,2802.2092017834048,25.84880554075103,3339.7546127506225,-2802.2092017834048,1.3879510572338585,1.3171843126684397
2.4,d_2.4,10000,2807.1394183553293,25.89249355655936,3344.942650153851,-2807.1394183553293,1.388794653549273,1.3182917425004017
2.41,d_2.41,10000,2812.011657306358,25.935662097318172,3350.0771948508673,-2812.011657306358,1.3896298008624874,1.3191588546297135
2.42,d_2.42,10000,2816.826831030264,25.978319384617905,3355.158963104874,-2816.826831030264,1.3904566115101522,1.3199380523097433
2.43,d_2.43,10000,2821.585833906698,26.02047347726882,3360.188660049794,-2821.585833906698,1.3912751959754668,1.3206423613252483
2.44,d_2.44,10000,2826.289542729669,26.062132275178126,3365.166979860799,-2826.289542729669,1.3920856629245155,1.3212193596303208
2.45,d_2.45,10000,2830.9388171241517,26.103303523119514,3370.0946059237067,-2830.9388171241517,1.3928881192417877,1.3218340204023347
2.46,d_2.46,10000,2835.5344999510485,26.143994814397317,3374.972211002986,-2835.5344999510485,1.39368267006489,1.3227951555521127
2.47,d_2.47,10000,2840.0774177010326,26.184213594409982,3379.800457408417,-2840.0774177010326,1.3944694188184859,1.3233900287187144
2.48,d_2.48,10000,2844.5683808775325,26.2239671641152,3384.579997160215,-2844.5683808775325,1.3952484672474736,1.324238609092607
2.49,d_2.49,10000,2849.008184369188,26.26326268339979,3389.3114721525326,-2849.008184369188,1.3960199154494184,1.3248782727523034
2.5,d_2.5,10000,2853.3976078121395,26.302107174357506,3393.9955143152847,-2853.3976078121395,1.3967838619062594,1.325597882419922
