origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
1606449558,1003137745,285739.3582841471,7477784.566455217,285614.8354827393,7474168.537553371,5643.802665813682,3740.5517032539356,3658.879035853165,3631.417697476956,3629.129555192299,3621.71373402834,3618.172321360206,3616.0781234425617,3616.028936868624,3616.0289018461503,3616.028901846148,1.5598490521015225
1040638247,4238539244,288034.4579850568,7470512.994017443,288954.8570850595,7472147.339091058,2381.422217451983,2554.744173617917,2245.9091571167723,2067.2964236080807,2045.7059208158048,1953.275035930374,1875.691425297905,1726.3679708182576,1652.4547837506825,1634.8687244153334,1634.3450736152008,1.2696236626841517
1009926521,3955657017,285042.1363151408,7475286.770457145,289139.214830336,7471021.3141298015,7591.011130865364,8362.534842538531,7280.378354835539,6638.021013979466,6558.877247444727,6214.28407039237,5914.403608154196,5270.20169800026,4806.903870654415,4489.495889495271,4265.45632734336,1.2834787129508083
993376309,8441772391,286988.58953010256,7475633.554431233,288629.6021310368,7475156.877051258,2377.521897074276,2117.6899809084134,1915.4569747091991,1808.1021251087284,1795.8967733505776,1746.2698338546995,1708.8427900202007,1654.3114407811777,1641.6907826677505,1641.013302773023,1641.0126009342493,1.3913052218490916
8209578684,1040638082,286876.51653506793,7477691.449586339,288081.6974488802,7470699.982242979,8537.002874459564,8196.648257172434,7606.101555508875,7321.192089523969,7290.881297490946,7173.922744819161,7094.580794401404,7003.384119487595,6991.680153074909,6991.467359556177,6991.467343360186,1.2033132220012814
994630575,1611173475,285531.619135074,7475318.117956102,285856.8023963636,7471874.973561862,5198.234348456562,3768.3276555298944,3586.620035613593,3509.449082840786,3501.9215980892086,3474.69308080449,3458.4660578082303,3444.1109588958343,3443.1495685052328,3443.144394259783,3443.144394240342,1.5030462238368454
862286125,5212088923,287339.6475800858,7474927.683388354,286723.0953544093,7473430.396751592,1915.563718832781,2113.8388624388026,1880.831909554745,1750.6169764803435,1735.2621539664358,1670.9120115960068,1619.2603001412854,1531.3536945697438,1500.8153188551441,1497.307622622246,1497.286636762321,1.182986897576407
5419179006,860796330,288162.11049143167,7475470.374232772,287532.05184660084,7474603.644077152,1217.0331962175062,1496.788800450624,1307.112228601983,1195.4276968231288,1181.7488929952676,1122.5069836134655,1071.538640734329,965.9264711904514,899.3664267405097,870.2371388873821,866.7301556197926,1.1357809694883885
7785773643,998592529,286252.16992607707,7471937.099920991,289225.175765189,7472717.102139382,5040.658006045247,3753.0080575027387,3411.783803117275,3233.72207799852,3213.7198825720475,3133.1769374223477,3073.6244370593145,2990.7959461316846,2973.7446108921336,2973.006298517453,2973.0058391119237,1.6399719969912423
1037553835,993367297,284553.11791356327,7473821.7033251,287651.3655840692,7475981.885078225,4835.769472561096,5258.429423630994,4595.993884023457,4206.824200601619,4159.239108333741,3953.4561324265665,3776.972840030749,3414.8356636337376,3194.2136379240856,3106.557842009498,3098.2476705059526,1.2803294271297243
